Year,Student Group,Result (%) (All Students),Count,Total,county_name,county_code,school_name,school_code
2025,ADA 504,≤ 5.0,*,594,Caroline County,05,Denton Elementary School,0301
2025,Eco Disadv,56.2,334,594,Caroline County,05,Denton Elementary School,0301
2025,FARMS,58.8,349,594,Caroline County,05,Denton Elementary School,0301
2025,ML,≤ 5.0,*,594,Caroline County,05,Denton Elementary School,0301
2025,SWD,13.6,81,594,Caroline County,05,Denton Elementary School,0301
2025,Title 1,≥ 95.0,*,594,Caroline County,05,Denton Elementary School,0301
2025,Homeless,*,*,594,Caroline County,05,Denton Elementary School,0301
2025,ADA 504,≤ 5.0,*,418,Caroline County,05,Federalsburg Elementary School,0501
2025,Eco Disadv,78.2,327,418,Caroline County,05,Federalsburg Elementary School,0501
2025,FARMS,81.3,340,418,Caroline County,05,Federalsburg Elementary School,0501
2025,ML,9.3,39,418,Caroline County,05,Federalsburg Elementary School,0501
2025,SWD,12.7,53,418,Caroline County,05,Federalsburg Elementary School,0501
2025,Title 1,≥ 95.0,*,418,Caroline County,05,Federalsburg Elementary School,0501
2025,Homeless,≤ 5.0,*,418,Caroline County,05,Federalsburg Elementary School,0501
2025,ADA 504,≤ 5.0,*,852,Caroline County,05,Greensboro Elementary School,0201
2025,Eco Disadv,71.6,610,852,Caroline County,05,Greensboro Elementary School,0201
2025,FARMS,76.9,655,852,Caroline County,05,Greensboro Elementary School,0201
2025,ML,26.9,229,852,Caroline County,05,Greensboro Elementary School,0201
2025,Migrant,*,*,852,Caroline County,05,Greensboro Elementary School,0201
2025,SWD,9.9,84,852,Caroline County,05,Greensboro Elementary School,0201
2025,Title 1,≥ 95.0,*,852,Caroline County,05,Greensboro Elementary School,0201
2025,ADA 504,≤ 5.0,*,382,Caroline County,05,Preston Elementary School,0401
2025,Eco Disadv,54.5,208,382,Caroline County,05,Preston Elementary School,0401
2025,FARMS,58.6,224,382,Caroline County,05,Preston Elementary School,0401
2025,ML,≤ 5.0,*,382,Caroline County,05,Preston Elementary School,0401
2025,SWD,10.5,40,382,Caroline County,05,Preston Elementary School,0401
2025,Title 1,≥ 95.0,*,382,Caroline County,05,Preston Elementary School,0401
2025,Homeless,*,*,382,Caroline County,05,Preston Elementary School,0401
2025,ADA 504,≤ 5.0,*,435,Caroline County,05,Ridgely Elementary School,0701
2025,Eco Disadv,54.7,238,435,Caroline County,05,Ridgely Elementary School,0701
2025,FARMS,55.6,242,435,Caroline County,05,Ridgely Elementary School,0701
2025,ML,≤ 5.0,*,435,Caroline County,05,Ridgely Elementary School,0701
2025,Migrant,*,*,435,Caroline County,05,Ridgely Elementary School,0701
2025,SWD,12.4,54,435,Caroline County,05,Ridgely Elementary School,0701
2025,Title 1,≥ 95.0,*,435,Caroline County,05,Ridgely Elementary School,0701
2025,ADA 504,≤ 5.0,*,385,Caroline County,05,Colonel Richardson Middle School,0802
2025,Eco Disadv,63.6,245,385,Caroline County,05,Colonel Richardson Middle School,0802
2025,FARMS,68.6,264,385,Caroline County,05,Colonel Richardson Middle School,0802
2025,ML,≤ 5.0,*,385,Caroline County,05,Colonel Richardson Middle School,0802
2025,SWD,7.3,28,385,Caroline County,05,Colonel Richardson Middle School,0802
2025,Homeless,*,*,385,Caroline County,05,Colonel Richardson Middle School,0802
2025,Military,*,*,385,Caroline County,05,Colonel Richardson Middle School,0802
2025,ADA 504,≤ 5.0,*,828,Caroline County,05,Lockerman Middle School,0302
2025,Eco Disadv,55.3,458,828,Caroline County,05,Lockerman Middle School,0302
2025,FARMS,56.8,470,828,Caroline County,05,Lockerman Middle School,0302
2025,ML,9.8,81,828,Caroline County,05,Lockerman Middle School,0302
2025,Migrant,*,*,828,Caroline County,05,Lockerman Middle School,0302
2025,SWD,10.6,88,828,Caroline County,05,Lockerman Middle School,0302
2025,Homeless,≤ 5.0,*,828,Caroline County,05,Lockerman Middle School,0302
2025,ADA 504,5.3,27,514,Caroline County,05,Colonel Richardson High School,0801
2025,Eco Disadv,59.5,306,514,Caroline County,05,Colonel Richardson High School,0801
2025,FARMS,64.8,333,514,Caroline County,05,Colonel Richardson High School,0801
2025,ML,6.0,31,514,Caroline County,05,Colonel Richardson High School,0801
2025,SWD,5.8,30,514,Caroline County,05,Colonel Richardson High School,0801
2025,Homeless,*,*,514,Caroline County,05,Colonel Richardson High School,0801
2025,Foster Care,*,*,514,Caroline County,05,Colonel Richardson High School,0801
2025,ADA 504,5.8,72,1233,Caroline County,05,North Caroline High School,0703
2025,Eco Disadv,53.9,664,1233,Caroline County,05,North Caroline High School,0703
2025,FARMS,56.2,693,1233,Caroline County,05,North Caroline High School,0703
2025,ML,10.1,125,1233,Caroline County,05,North Caroline High School,0703
2025,Migrant,*,*,1233,Caroline County,05,North Caroline High School,0703
2025,SWD,7.9,97,1233,Caroline County,05,North Caroline High School,0703
2025,Homeless,≤ 5.0,*,1233,Caroline County,05,North Caroline High School,0703
2025,ADA 504,*,*,326,Dorchester County,09,Choptank Elementary School,0716
2025,Eco Disadv,89.9,293,326,Dorchester County,09,Choptank Elementary School,0716
2025,FARMS,90.5,295,326,Dorchester County,09,Choptank Elementary School,0716
2025,ML,5.5,18,326,Dorchester County,09,Choptank Elementary School,0716
2025,Migrant,*,*,326,Dorchester County,09,Choptank Elementary School,0716
2025,SWD,11.0,36,326,Dorchester County,09,Choptank Elementary School,0716
