Year,Race/Ethnicity,Attendance Rate (%) (All Students),Days Attended/Days Members (All Students),county_name,county_code,school_name,school_code
2025,African Am.,87.6,28419.5/32441.0,Dorchester County,09,Choptank Elementary School,0716
2025,White,92.6,2260.5/2441.0,Dorchester County,09,Choptank Elementary School,0716
2025,2+,87.3,2762.5/3166.0,Dorchester County,09,Choptank Elementary School,0716
2025,Hispanic,89.3,6425.0/7191.0,Dorchester County,09,Choptank Elementary School,0716
2025,Am.Ind/AK,*,*/*,Dorchester County,09,Choptank Elementary School,0716
2025,African Am.,92.1,17045.0/18514.0,Dorchester County,09,Hurlock Elementary School,1503
2025,HI/Pac.Isl.,*,*/*,Dorchester County,09,Hurlock Elementary School,1503
2025,White,91.9,18215.5/19823.0,Dorchester County,09,Hurlock Elementary School,1503
2025,2+,89.5,4291.5/4794.0,Dorchester County,09,Hurlock Elementary School,1503
2025,Hispanic,93.2,5367.5/5760.0,Dorchester County,09,Hurlock Elementary School,1503
2025,Asian,*,*/*,Dorchester County,09,Hurlock Elementary School,1503
2025,African Am.,93.0,20570.5/22122.0,Dorchester County,09,Maple Elementary School,0711
2025,White,91.5,10836.5/11845.0,Dorchester County,09,Maple Elementary School,0711
2025,2+,91.3,3977.5/4358.0,Dorchester County,09,Maple Elementary School,0711
2025,Hispanic,94.6,20465.0/21625.0,Dorchester County,09,Maple Elementary School,0711
2025,Am.Ind/AK,*,*/*,Dorchester County,09,Maple Elementary School,0711
2025,Asian,*,*/*,Dorchester County,09,Maple Elementary School,0711
2025,African Am.,88.1,24119.0/27370.0,Dorchester County,09,Sandy Hill Elementary School,0710
2025,White,92.2,7819.5/8478.0,Dorchester County,09,Sandy Hill Elementary School,0710
2025,2+,91.5,3293.0/3597.0,Dorchester County,09,Sandy Hill Elementary School,0710
2025,Hispanic,86.4,5400.0/6249.0,Dorchester County,09,Sandy Hill Elementary School,0710
2025,Asian,*,*/*,Dorchester County,09,Sandy Hill Elementary School,0710
2025,African Am.,93.6,2354.0/2516.0,Dorchester County,09,Vienna Elementary School,0302
2025,White,93.3,15755.5/16889.0,Dorchester County,09,Vienna Elementary School,0302
2025,2+,92.3,2094.0/2269.0,Dorchester County,09,Vienna Elementary School,0302
2025,Hispanic,94.8,2316.0/2443.0,Dorchester County,09,Vienna Elementary School,0302
2025,African Am.,93.6,2863.0/3060.0,Dorchester County,09,Warwick Elementary School,0205
2025,White,93.6,37708.0/40293.0,Dorchester County,09,Warwick Elementary School,0205
2025,2+,92.8,2248.5/2422.0,Dorchester County,09,Warwick Elementary School,0205
2025,Hispanic,93.5,1683.5/1800.0,Dorchester County,09,Warwick Elementary School,0205
2025,Asian,*,*/*,Dorchester County,09,Warwick Elementary School,0205
2025,African Am.,*,*/*,Dorchester County,09,South Dorchester School,0508
2025,White,93.3,27133.5/29076.0,Dorchester County,09,South Dorchester School,0508
2025,2+,93.4,1682.0/1800.0,Dorchester County,09,South Dorchester School,0508
2025,Hispanic,*,*/*,Dorchester County,09,South Dorchester School,0508
2025,Asian,*,*/*,Dorchester County,09,South Dorchester School,0508
2025,African Am.,85.2,42776.5/50203.0,Dorchester County,09,Mace's Lane Middle School,0707
2025,White,89.7,9206.5/10265.0,Dorchester County,09,Mace's Lane Middle School,0707
2025,2+,84.9,6843.0/8063.0,Dorchester County,09,Mace's Lane Middle School,0707
2025,Hispanic,89.3,14204.5/15910.0,Dorchester County,09,Mace's Lane Middle School,0707
2025,Asian,*,*/*,Dorchester County,09,Mace's Lane Middle School,0707
2025,African Am.,90.9,13097.0/14405.0,Dorchester County,09,North Dorchester Middle School,0208
2025,White,93.0,42471.0/45672.0,Dorchester County,09,North Dorchester Middle School,0208
2025,2+,91.3,4563.0/5000.0,Dorchester County,09,North Dorchester Middle School,0208
2025,Hispanic,93.4,7367.5/7892.0,Dorchester County,09,North Dorchester Middle School,0208
2025,Asian,*,*/*,Dorchester County,09,North Dorchester Middle School,0208
2025,African Am.,80.2,63552.5/79249.0,Dorchester County,09,Cambridge-South Dorchester High School,0713
2025,HI/Pac.Isl.,*,*/*,Dorchester County,09,Cambridge-South Dorchester High School,0713
2025,White,86.9,30701.0/35347.0,Dorchester County,09,Cambridge-South Dorchester High School,0713
2025,2+,79.7,6483.5/8131.0,Dorchester County,09,Cambridge-South Dorchester High School,0713
2025,Hispanic,86.2,14437.5/16741.0,Dorchester County,09,Cambridge-South Dorchester High School,0713
2025,Asian,*,*/*,Dorchester County,09,Cambridge-South Dorchester High School,0713
2025,African Am.,89.7,19784.5/22054.0,Dorchester County,09,North Dorchester High School,0207
2025,White,90.2,46506.5/51559.0,Dorchester County,09,North Dorchester High School,0207
2025,2+,87.5,5917.5/6764.0,Dorchester County,09,North Dorchester High School,0207
2025,Hispanic,90.6,10083.5/11129.0,Dorchester County,09,North Dorchester High School,0207
2025,Am.Ind/AK,*,*/*,Dorchester County,09,North Dorchester High School,0207
2025,Asian,*,*/*,Dorchester County,09,North Dorchester High School,0207
