Year,Race/Ethnicity,Attendance Rate (%) (All Students),Days Attended/Days Members (All Students),county_name,county_code,school_name,school_code
2025,African Am.,≥ 95.0,*/*,Kent County,14,Galena Elementary School,0105
2025,White,92.9,23318.5/25109.0,Kent County,14,Galena Elementary School,0105
2025,2+,90.0,2892.0/3212.0,Kent County,14,Galena Elementary School,0105
2025,Hispanic,92.3,7207.5/7805.0,Kent County,14,Galena Elementary School,0105
2025,African Am.,92.8,12247.5/13198.0,Kent County,14,H. H. Garnett Elementary,0403
2025,White,93.3,16592.5/17778.0,Kent County,14,H. H. Garnett Elementary,0403
2025,2+,92.3,4632.0/5016.0,Kent County,14,H. H. Garnett Elementary,0403
2025,Hispanic,92.8,5235.0/5643.0,Kent County,14,H. H. Garnett Elementary,0403
2025,Asian,*,*/*,Kent County,14,H. H. Garnett Elementary,0403
2025,African Am.,93.2,5858.0/6284.0,Kent County,14,Rock Hall Elementary,0504
2025,White,92.8,14533.0/15656.0,Kent County,14,Rock Hall Elementary,0504
2025,2+,94.2,2698.5/2866.0,Kent County,14,Rock Hall Elementary,0504
2025,Hispanic,*,*/*,Kent County,14,Rock Hall Elementary,0504
2025,Am.Ind/AK,*,*/*,Kent County,14,Rock Hall Elementary,0504
2025,African Am.,90.8,14513.0/15991.0,Kent County,14,Kent County Middle School,0402
2025,White,92.7,29227.0/31520.0,Kent County,14,Kent County Middle School,0402
2025,2+,92.0,5676.5/6173.0,Kent County,14,Kent County Middle School,0402
2025,Hispanic,93.1,9326.5/10014.0,Kent County,14,Kent County Middle School,0402
2025,Am.Ind/AK,*,*/*,Kent County,14,Kent County Middle School,0402
2025,African Am.,83.2,18341.0/22055.0,Kent County,14,Kent County High,0301
2025,White,87.6,43854.0/50049.0,Kent County,14,Kent County High,0301
2025,2+,84.4,5294.5/6270.0,Kent County,14,Kent County High,0301
2025,Hispanic,88.4,10288.5/11636.0,Kent County,14,Kent County High,0301
2025,Am.Ind/AK,*,*/*,Kent County,14,Kent County High,0301
2025,Asian,*,*/*,Kent County,14,Kent County High,0301
