Year,Race/Ethnicity,Attendance Rate (%) (All Students),Days Attended/Days Members (All Students),county_name,county_code,school_name,school_code
2025,African Am.,*,*/*,Queen Anne's County,17,Bayside Elementary School,0403
2025,White,93.6,47513.5/50764.0,Queen Anne's County,17,Bayside Elementary School,0403
2025,2+,92.5,3896.5/4211.0,Queen Anne's County,17,Bayside Elementary School,0403
2025,Hispanic,91.2,7610.5/8342.0,Queen Anne's County,17,Bayside Elementary School,0403
2025,Asian,94.2,2373.5/2520.0,Queen Anne's County,17,Bayside Elementary School,0403
2025,African Am.,89.2,1894.5/2123.0,Queen Anne's County,17,Centreville Elementary School,0308
2025,White,93.3,38522.5/41293.0,Queen Anne's County,17,Centreville Elementary School,0308
2025,2+,91.2,2794.0/3064.0,Queen Anne's County,17,Centreville Elementary School,0308
2025,Hispanic,90.7,6260.0/6900.0,Queen Anne's County,17,Centreville Elementary School,0308
2025,Asian,*,*/*,Queen Anne's County,17,Centreville Elementary School,0308
2025,African Am.,93.6,2003.0/2141.0,Queen Anne's County,17,Church Hill Elementary School,0202
2025,White,93.5,26795.5/28664.0,Queen Anne's County,17,Church Hill Elementary School,0202
2025,2+,92.3,2726.0/2954.0,Queen Anne's County,17,Church Hill Elementary School,0202
2025,Hispanic,92.4,5076.5/5492.0,Queen Anne's County,17,Church Hill Elementary School,0202
2025,Am.Ind/AK,*,*/*,Queen Anne's County,17,Church Hill Elementary School,0202
2025,Asian,*,*/*,Queen Anne's County,17,Church Hill Elementary School,0202
2025,African Am.,90.5,7224.0/7981.0,Queen Anne's County,17,Grasonville Elementary School,0503
2025,HI/Pac.Isl.,*,*/*,Queen Anne's County,17,Grasonville Elementary School,0503
2025,White,93.7,39318.5/41956.0,Queen Anne's County,17,Grasonville Elementary School,0503
2025,2+,91.9,5760.0/6270.0,Queen Anne's County,17,Grasonville Elementary School,0503
2025,Hispanic,93.3,10583.5/11348.0,Queen Anne's County,17,Grasonville Elementary School,0503
2025,Asian,*,*/*,Queen Anne's County,17,Grasonville Elementary School,0503
2025,African Am.,92.9,6104.5/6572.0,Queen Anne's County,17,Kennard Elementary School,0302
2025,White,93.4,59485.5/63703.0,Queen Anne's County,17,Kennard Elementary School,0302
2025,2+,92.5,5752.5/6219.0,Queen Anne's County,17,Kennard Elementary School,0302
2025,Hispanic,92.9,6868.5/7390.0,Queen Anne's County,17,Kennard Elementary School,0302
2025,Am.Ind/AK,*,*/*,Queen Anne's County,17,Kennard Elementary School,0302
2025,Asian,*,*/*,Queen Anne's County,17,Kennard Elementary School,0302
2025,African Am.,94.6,1873.0/1980.0,Queen Anne's County,17,Kent Island Elementary School,0402
2025,White,93.9,31615.0/33663.0,Queen Anne's County,17,Kent Island Elementary School,0402
2025,2+,92.2,2820.5/3060.0,Queen Anne's County,17,Kent Island Elementary School,0402
2025,Hispanic,91.8,5801.5/6319.0,Queen Anne's County,17,Kent Island Elementary School,0402
2025,Am.Ind/AK,*,*/*,Queen Anne's County,17,Kent Island Elementary School,0402
2025,Asian,*,*/*,Queen Anne's County,17,Kent Island Elementary School,0402
2025,African Am.,*,*/*,Queen Anne's County,17,Matapeake Elementary School,0406
2025,White,94.3,51141.0/54226.0,Queen Anne's County,17,Matapeake Elementary School,0406
2025,2+,94.1,4359.0/4632.0,Queen Anne's County,17,Matapeake Elementary School,0406
2025,Hispanic,94.7,4461.0/4712.0,Queen Anne's County,17,Matapeake Elementary School,0406
2025,Am.Ind/AK,*,*/*,Queen Anne's County,17,Matapeake Elementary School,0406
2025,Asian,*,*/*,Queen Anne's County,17,Matapeake Elementary School,0406
2025,African Am.,88.6,2125.0/2399.0,Queen Anne's County,17,Sudlersville Elementary School,0106
2025,White,93.7,18634.0/19878.0,Queen Anne's County,17,Sudlersville Elementary School,0106
2025,2+,94.1,2039.5/2168.0,Queen Anne's County,17,Sudlersville Elementary School,0106
2025,Hispanic,93.4,13650.0/14612.0,Queen Anne's County,17,Sudlersville Elementary School,0106
2025,Am.Ind/AK,*,*/*,Queen Anne's County,17,Sudlersville Elementary School,0106
