Year,Race/Ethnicity,Attendance Rate (%) (All Students),Days Attended/Days Members (All Students),county_name,county_code,school_name,school_code
2025,African Am.,*,*/*,Talbot County,20,Chapel District Elementary,0401
2025,White,93.8,33300.0/35505.0,Talbot County,20,Chapel District Elementary,0401
2025,2+,≥ 95.0,*/*,Talbot County,20,Chapel District Elementary,0401
2025,Hispanic,92.8,5155.0/5556.0,Talbot County,20,Chapel District Elementary,0401
2025,Asian,*,*/*,Talbot County,20,Chapel District Elementary,0401
2025,African Am.,92.8,24580.0/26488.0,Talbot County,20,Easton Elementary,0104
2025,White,93.3,32780.5/35133.0,Talbot County,20,Easton Elementary,0104
2025,2+,90.4,7124.0/7883.0,Talbot County,20,Easton Elementary,0104
2025,Hispanic,93.6,60349.5/64484.0,Talbot County,20,Easton Elementary,0104
2025,Asian,≥ 95.0,*/*,Talbot County,20,Easton Elementary,0104
2025,African Am.,94.0,5548.5/5902.0,Talbot County,20,St. Michaels Elementary,0204
2025,White,94.7,29359.0/31018.0,Talbot County,20,St. Michaels Elementary,0204
2025,2+,94.7,1704.0/1800.0,Talbot County,20,St. Michaels Elementary,0204
2025,Hispanic,93.2,4749.0/5098.0,Talbot County,20,St. Michaels Elementary,0204
2025,Asian,*,*/*,Talbot County,20,St. Michaels Elementary,0204
2025,African Am.,*,*/*,Talbot County,20,Tilghman Elementary,0501
2025,White,91.6,11088.0/12105.0,Talbot County,20,Tilghman Elementary,0501
2025,2+,*,*/*,Talbot County,20,Tilghman Elementary,0501
2025,Hispanic,*,*/*,Talbot County,20,Tilghman Elementary,0501
2025,African Am.,93.8,3715.0/3960.0,Talbot County,20,White Marsh Elementary,0302
2025,White,94.1,23946.0/25450.0,Talbot County,20,White Marsh Elementary,0302
2025,2+,94.8,1877.5/1980.0,Talbot County,20,White Marsh Elementary,0302
2025,Hispanic,93.0,6197.0/6667.0,Talbot County,20,White Marsh Elementary,0302
2025,Asian,*,*/*,Talbot County,20,White Marsh Elementary,0302
2025,African Am.,92.4,21332.0/23085.0,Talbot County,20,Easton Middle,0106
2025,White,92.6,44320.0/47870.0,Talbot County,20,Easton Middle,0106
2025,2+,91.7,10717.5/11686.0,Talbot County,20,Easton Middle,0106
2025,Hispanic,92.5,38239.0/41357.0,Talbot County,20,Easton Middle,0106
2025,Asian,*,*/*,Talbot County,20,Easton Middle,0106
2025,African Am.,89.5,8306.0/9280.0,Talbot County,20,St. Michaels Middle/High School,0202
2025,White,92.0,50555.0/54948.0,Talbot County,20,St. Michaels Middle/High School,0202
2025,2+,92.2,5171.0/5607.0,Talbot County,20,St. Michaels Middle/High School,0202
2025,Hispanic,90.3,7984.0/8846.0,Talbot County,20,St. Michaels Middle/High School,0202
2025,Asian,*,*/*,Talbot County,20,St. Michaels Middle/High School,0202
2025,African Am.,88.8,32544.5/36662.0,Talbot County,20,Easton High,0101
2025,White,91.7,91976.5/100271.0,Talbot County,20,Easton High,0101
2025,2+,90.8,8753.5/9640.0,Talbot County,20,Easton High,0101
2025,Hispanic,88.6,53492.5/60374.0,Talbot County,20,Easton High,0101
2025,Asian,93.8,3884.5/4140.0,Talbot County,20,Easton High,0101
