category,group,enrollment,year
Race/Ethnicity,All Students,412,2025
Race/Ethnicity,Asian,*,2025
Race/Ethnicity,African Am.,253,2025
Race/Ethnicity,Hispanic,108,2025
Race/Ethnicity,White,12,2025
Race/Ethnicity,Am.Ind/AK,*,2025
Race/Ethnicity,2+,35,2025
Gender,All Students,412,2025
Gender,Male,221,2025
Gender,Female,191,2025
Grade,All Students,412,2025
Grade,Pre-Kindergarten,59,2025
Grade,Kindergarten,61,2025
Grade,Grade 1,63,2025
Grade,Grade 2,64,2025
Grade,Grade 3,49,2025
Grade,Grade 4,58,2025
Grade,Grade 5,58,2025
Grade,Elementary,292,2025
