category,group,enrollment,year
Race/Ethnicity,All Students,183,2025
Race/Ethnicity,African Am.,20,2025
Race/Ethnicity,Hispanic,17,2025
Race/Ethnicity,White,127,2025
Race/Ethnicity,Am.Ind/AK,*,2025
Race/Ethnicity,2+,18,2025
Gender,All Students,183,2025
Gender,Male,94,2025
Gender,Female,89,2025
Grade,All Students,183,2025
Grade,Pre-Kindergarten,31,2025
Grade,Kindergarten,18,2025
Grade,Grade 1,33,2025
Grade,Grade 2,24,2025
Grade,Grade 3,27,2025
Grade,Grade 4,21,2025
Grade,Grade 5,29,2025
Grade,Elementary,134,2025
