school_name,school_code,county_code,county_name,category,group,enrollment,year
Galena Elementary School,0105,14,Kent County,Race/Ethnicity,All Students,309,2025
Galena Elementary School,0105,14,Kent County,Race/Ethnicity,African Am.,22,2025
Galena Elementary School,0105,14,Kent County,Race/Ethnicity,Hispanic,63,2025
Galena Elementary School,0105,14,Kent County,Race/Ethnicity,White,201,2025
Galena Elementary School,0105,14,Kent County,Race/Ethnicity,2+,23,2025
Galena Elementary School,0105,14,Kent County,Gender,All Students,309,2025
Galena Elementary School,0105,14,Kent County,Gender,Male,152,2025
Galena Elementary School,0105,14,Kent County,Gender,Female,157,2025
Galena Elementary School,0105,14,Kent County,Grade,All Students,309,2025
Galena Elementary School,0105,14,Kent County,Grade,Pre-Kindergarten,43,2025
Galena Elementary School,0105,14,Kent County,Grade,Kindergarten,49,2025
Galena Elementary School,0105,14,Kent County,Grade,Grade 1,49,2025
Galena Elementary School,0105,14,Kent County,Grade,Grade 2,49,2025
Galena Elementary School,0105,14,Kent County,Grade,Grade 3,42,2025
Galena Elementary School,0105,14,Kent County,Grade,Grade 4,36,2025
Galena Elementary School,0105,14,Kent County,Grade,Grade 5,41,2025
Galena Elementary School,0105,14,Kent County,Grade,Elementary,217,2025
