category,group,enrollment,year
Race/Ethnicity,All Students,472,2025
Race/Ethnicity,Asian,*,2025
Race/Ethnicity,African Am.,50,2025
Race/Ethnicity,Hispanic,80,2025
Race/Ethnicity,White,293,2025
Race/Ethnicity,Am.Ind/AK,*,2025
Race/Ethnicity,HI/Pac.Isl.,*,2025
Race/Ethnicity,2+,39,2025
Gender,All Students,472,2025
Gender,Male,222,2025
Gender,Female,250,2025
Grade,All Students,472,2025
Grade,Pre-Kindergarten,34,2025
Grade,Kindergarten,66,2025
Grade,Grade 1,70,2025
Grade,Grade 2,75,2025
Grade,Grade 3,76,2025
Grade,Grade 4,70,2025
Grade,Grade 5,81,2025
Grade,Elementary,372,2025
