category,group,enrollment,year
Race/Ethnicity,All Students,1075,2025
Race/Ethnicity,Asian,35,2025
Race/Ethnicity,African Am.,192,2025
Race/Ethnicity,Hispanic,486,2025
Race/Ethnicity,White,294,2025
Race/Ethnicity,2+,68,2025
Gender,All Students,1075,2025
Gender,Male,560,2025
Gender,Female,515,2025
Grade,All Students,1075,2025
Grade,Pre-Kindergarten,167,2025
Grade,Kindergarten,145,2025
Grade,Grade 1,139,2025
Grade,Grade 2,167,2025
Grade,Grade 3,149,2025
Grade,Grade 4,129,2025
Grade,Grade 5,179,2025
Grade,Elementary,763,2025
