category,group,enrollment,year
Race/Ethnicity,All Students,354,2025
Race/Ethnicity,Asian,*,2025
Race/Ethnicity,African Am.,*,2025
Race/Ethnicity,Hispanic,35,2025
Race/Ethnicity,White,291,2025
Race/Ethnicity,Am.Ind/AK,*,2025
Race/Ethnicity,2+,15,2025
Gender,All Students,354,2025
Gender,Male,198,2025
Gender,Female,156,2025
Grade,All Students,354,2025
Grade,Pre-Kindergarten,36,2025
Grade,Kindergarten,55,2025
Grade,Grade 1,50,2025
Grade,Grade 2,54,2025
Grade,Grade 3,50,2025
Grade,Grade 4,57,2025
Grade,Grade 5,52,2025
Grade,Elementary,263,2025
