category,group,enrollment,year
Race/Ethnicity,All Students,914,2025
Race/Ethnicity,Asian,21,2025
Race/Ethnicity,African Am.,180,2025
Race/Ethnicity,Hispanic,111,2025
Race/Ethnicity,White,496,2025
Race/Ethnicity,Am.Ind/AK,*,2025
Race/Ethnicity,2+,104,2025
Gender,All Students,914,2025
Gender,Male,476,2025
Gender,Female,438,2025
Grade,All Students,914,2025
Grade,Pre-Kindergarten,60,2025
Grade,Kindergarten,153,2025
Grade,Grade 1,173,2025
Grade,Grade 2,156,2025
Grade,Grade 3,194,2025
Grade,Grade 4,178,2025
Grade,Elementary,701,2025
