Year,Student Group,Result (%) (All Students),Count,Total,county_name,county_code,school_name,school_code
2025,ADA 504,*,*,326,Dorchester County,09,Choptank Elementary School,0716
2025,Eco Disadv,89.9,293,326,Dorchester County,09,Choptank Elementary School,0716
2025,FARMS,90.5,295,326,Dorchester County,09,Choptank Elementary School,0716
2025,ML,5.5,18,326,Dorchester County,09,Choptank Elementary School,0716
2025,Migrant,*,*,326,Dorchester County,09,Choptank Elementary School,0716
2025,SWD,11.0,36,326,Dorchester County,09,Choptank Elementary School,0716
2025,Title 1,≥ 95.0,*,326,Dorchester County,09,Choptank Elementary School,0716
2025,ADA 504,*,*,381,Dorchester County,09,Hurlock Elementary School,1503
2025,Eco Disadv,74.8,285,381,Dorchester County,09,Hurlock Elementary School,1503
2025,FARMS,75.9,289,381,Dorchester County,09,Hurlock Elementary School,1503
2025,ML,7.6,29,381,Dorchester County,09,Hurlock Elementary School,1503
2025,SWD,11.8,45,381,Dorchester County,09,Hurlock Elementary School,1503
2025,Title 1,≥ 95.0,*,381,Dorchester County,09,Hurlock Elementary School,1503
2025,Homeless,*,*,381,Dorchester County,09,Hurlock Elementary School,1503
2025,ADA 504,*,*,484,Dorchester County,09,Maple Elementary School,0711
2025,Eco Disadv,80.0,387,484,Dorchester County,09,Maple Elementary School,0711
2025,FARMS,83.1,402,484,Dorchester County,09,Maple Elementary School,0711
2025,ML,19.4,94,484,Dorchester County,09,Maple Elementary School,0711
2025,SWD,8.5,41,484,Dorchester County,09,Maple Elementary School,0711
2025,Title 1,≥ 95.0,*,484,Dorchester County,09,Maple Elementary School,0711
2025,Homeless,≤ 5.0,*,484,Dorchester County,09,Maple Elementary School,0711
2025,ADA 504,*,*,393,Dorchester County,09,Sandy Hill Elementary School,0710
2025,Eco Disadv,82.2,323,393,Dorchester County,09,Sandy Hill Elementary School,0710
2025,FARMS,83.7,329,393,Dorchester County,09,Sandy Hill Elementary School,0710
