Year,Student Group,Result (%) (All Students),Count,Total,county_name,county_code,school_name,school_code
2025,ADA 504,≤ 5.0,*,314,Kent County,14,Galena Elementary School,0105
2025,Eco Disadv,49.4,155,314,Kent County,14,Galena Elementary School,0105
2025,FARMS,57.6,181,314,Kent County,14,Galena Elementary School,0105
2025,ML,8.0,25,314,Kent County,14,Galena Elementary School,0105
2025,Migrant,*,*,314,Kent County,14,Galena Elementary School,0105
2025,SWD,11.5,36,314,Kent County,14,Galena Elementary School,0105
2025,Title 1,≥ 95.0,*,314,Kent County,14,Galena Elementary School,0105
2025,ADA 504,≤ 5.0,*,327,Kent County,14,H. H. Garnett Elementary,0403
2025,Eco Disadv,66.7,218,327,Kent County,14,H. H. Garnett Elementary,0403
2025,FARMS,73.1,239,327,Kent County,14,H. H. Garnett Elementary,0403
2025,ML,9.5,31,327,Kent County,14,H. H. Garnett Elementary,0403
2025,SWD,10.7,35,327,Kent County,14,H. H. Garnett Elementary,0403
2025,Title 1,≥ 95.0,*,327,Kent County,14,H. H. Garnett Elementary,0403
2025,Homeless,≤ 5.0,*,327,Kent County,14,H. H. Garnett Elementary,0403
2025,ADA 504,*,*,194,Kent County,14,Rock Hall Elementary,0504
2025,Eco Disadv,67.5,131,194,Kent County,14,Rock Hall Elementary,0504
2025,FARMS,75.8,147,194,Kent County,14,Rock Hall Elementary,0504
2025,ML,*,*,194,Kent County,14,Rock Hall Elementary,0504
2025,SWD,16.0,31,194,Kent County,14,Rock Hall Elementary,0504
2025,Title 1,≥ 95.0,*,194,Kent County,14,Rock Hall Elementary,0504
2025,Homeless,7.7,15,194,Kent County,14,Rock Hall Elementary,0504
2025,ADA 504,8.8,32,362,Kent County,14,Kent County Middle School,0402
2025,Eco Disadv,68.2,247,362,Kent County,14,Kent County Middle School,0402
2025,FARMS,74.6,270,362,Kent County,14,Kent County Middle School,0402
2025,ML,7.7,28,362,Kent County,14,Kent County Middle School,0402
2025,Migrant,*,*,362,Kent County,14,Kent County Middle School,0402
2025,SWD,14.1,51,362,Kent County,14,Kent County Middle School,0402
2025,Title 1,≥ 95.0,*,362,Kent County,14,Kent County Middle School,0402
2025,ADA 504,11.3,57,505,Kent County,14,Kent County High,0301
2025,Eco Disadv,59.4,300,505,Kent County,14,Kent County High,0301
2025,FARMS,62.0,313,505,Kent County,14,Kent County High,0301
2025,ML,≤ 5.0,*,505,Kent County,14,Kent County High,0301
2025,Migrant,*,*,505,Kent County,14,Kent County High,0301
2025,SWD,13.5,68,505,Kent County,14,Kent County High,0301
2025,Homeless,≤ 5.0,*,505,Kent County,14,Kent County High,0301
