Year,Student Group,Result (%) (All Students),Count,Total,county_name,county_code,school_name,school_code
2025,ADA 504,5.2,19,367,Talbot County,20,Chapel District Elementary,0401
2025,Eco Disadv,35.7,131,367,Talbot County,20,Chapel District Elementary,0401
2025,FARMS,42.0,154,367,Talbot County,20,Chapel District Elementary,0401
2025,ML,6.0,22,367,Talbot County,20,Chapel District Elementary,0401
2025,Migrant,*,*,367,Talbot County,20,Chapel District Elementary,0401
2025,SWD,12.3,45,367,Talbot County,20,Chapel District Elementary,0401
2025,Title 1,22.6,83,367,Talbot County,20,Chapel District Elementary,0401
2025,ADA 504,≤ 5.0,*,1085,Talbot County,20,Easton Elementary,0104
2025,Eco Disadv,60.8,660,1085,Talbot County,20,Easton Elementary,0104
2025,FARMS,74.9,813,1085,Talbot County,20,Easton Elementary,0104
2025,ML,30.1,327,1085,Talbot County,20,Easton Elementary,0104
2025,SWD,13.1,142,1085,Talbot County,20,Easton Elementary,0104
2025,Title 1,≥ 95.0,*,1085,Talbot County,20,Easton Elementary,0104
2025,Homeless,7.2,78,1085,Talbot County,20,Easton Elementary,0104
2025,ADA 504,8.9,29,327,Talbot County,20,St. Michaels Elementary,0204
2025,Eco Disadv,43.4,142,327,Talbot County,20,St. Michaels Elementary,0204
2025,FARMS,48.0,157,327,Talbot County,20,St. Michaels Elementary,0204
2025,ML,≤ 5.0,*,327,Talbot County,20,St. Michaels Elementary,0204
2025,SWD,16.5,54,327,Talbot County,20,St. Michaels Elementary,0204
2025,Title 1,≥ 95.0,*,327,Talbot County,20,St. Michaels Elementary,0204
2025,Homeless,*,*,327,Talbot County,20,St. Michaels Elementary,0204
2025,ADA 504,*,*,101,Talbot County,20,Tilghman Elementary,0501
2025,Eco Disadv,58.4,59,101,Talbot County,20,Tilghman Elementary,0501
2025,FARMS,63.4,64,101,Talbot County,20,Tilghman Elementary,0501
2025,ML,*,*,101,Talbot County,20,Tilghman Elementary,0501
2025,SWD,13.9,14,101,Talbot County,20,Tilghman Elementary,0501
2025,Title 1,27.7,28,101,Talbot County,20,Tilghman Elementary,0501
2025,Homeless,*,*,101,Talbot County,20,Tilghman Elementary,0501
2025,ADA 504,≤ 5.0,*,285,Talbot County,20,White Marsh Elementary,0302
2025,Eco Disadv,46.3,132,285,Talbot County,20,White Marsh Elementary,0302
2025,FARMS,56.1,160,285,Talbot County,20,White Marsh Elementary,0302
2025,ML,11.6,33,285,Talbot County,20,White Marsh Elementary,0302
2025,SWD,7.7,22,285,Talbot County,20,White Marsh Elementary,0302
2025,Title 1,≥ 95.0,*,285,Talbot County,20,White Marsh Elementary,0302
2025,Homeless,5.3,15,285,Talbot County,20,White Marsh Elementary,0302
2025,ADA 504,8.0,56,698,Talbot County,20,Easton Middle,0106
2025,Eco Disadv,54.7,382,698,Talbot County,20,Easton Middle,0106
2025,FARMS,67.8,473,698,Talbot County,20,Easton Middle,0106
2025,ML,15.8,110,698,Talbot County,20,Easton Middle,0106
2025,SWD,13.3,93,698,Talbot County,20,Easton Middle,0106
2025,Homeless,5.6,39,698,Talbot County,20,Easton Middle,0106
2025,Foster Care,*,*,698,Talbot County,20,Easton Middle,0106
2025,ADA 504,12.7,56,440,Talbot County,20,St. Michaels Middle/High School,0202
2025,Eco Disadv,41.6,183,440,Talbot County,20,St. Michaels Middle/High School,0202
2025,FARMS,46.4,204,440,Talbot County,20,St. Michaels Middle/High School,0202
2025,ML,≤ 5.0,*,440,Talbot County,20,St. Michaels Middle/High School,0202
2025,SWD,10.2,45,440,Talbot County,20,St. Michaels Middle/High School,0202
2025,Homeless,*,*,440,Talbot County,20,St. Michaels Middle/High School,0202
2025,Military,*,*,440,Talbot County,20,St. Michaels Middle/High School,0202
2025,ADA 504,8.7,102,1171,Talbot County,20,Easton High,0101
2025,Eco Disadv,47.6,557,1171,Talbot County,20,Easton High,0101
2025,FARMS,58.4,684,1171,Talbot County,20,Easton High,0101
2025,ML,13.7,161,1171,Talbot County,20,Easton High,0101
2025,SWD,8.8,103,1171,Talbot County,20,Easton High,0101
2025,Homeless,6.7,78,1171,Talbot County,20,Easton High,0101
2025,Foster Care,*,*,1171,Talbot County,20,Easton High,0101
